Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$4.22,0.00,0.00%,11664645.00,United States,,16,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.1351,0.0001,0.074%,18538612.00,Canada,2015,40266,,
ACU,Acme United Corporation. Common Stock,$47.8468,1.3968,3.007%,171534127.00,United States,1988,883,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$11.90,-0.7761,-6.123%,171062500.00,,2022,573,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$29.49,2.68,9.996%,75094545.00,United States,1980,7789,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.03,0.015,0.299%,540033375.00,United States,,3003,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$12.39,0.50,4.205%,460407444.00,United States,,2560,Health Care,Biotechnology: Pharmaceutical Preparations
AGE,AgeX Therapeutics Inc. Common Stock,$0.371,0.00,0.00%,14079918.00,,2018,23857,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.4004,-0.0006,-0.15%,19556475.00,United States,1997,41995,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$2.80,0.28,11.111%,8999130.00,United States,2014,5513,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$4.4294,0.00,0.00%,14630508.00,United States,,63,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$5.99,0.00,0.00%,332024802.00,,,134,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$1.80,0.09,5.263%,5141477.00,China,,5063,Real Estate,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.84,-0.46,-20.00%,1530919.00,United States,2022,70007,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.6799,-0.0401,-1.474%,16883370.00,United States,1988,1964,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.6899,0.0399,0.706%,66270812.00,Canada,2000,3314,Health Care,Industrial Specialties
AREN,The Arena Group Holdings Inc. Common Stock,$1.90,0.13,7.345%,45286293.00,United States,2022,9076,Health Care,Medical/Dental Instruments
ARMN,Aris Mining Corporation Common Shares,$2.817,0.047,1.697%,388275392.00,,2023,9503,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.98,0.10,2.577%,143863365.00,United States,,3013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.4634,0.0115,2.545%,58298569.00,Canada,,103195,,
ASXC,Asensus Surgical Inc. Common Stock,$0.3001,-0.011,-3.536%,79321456.00,United States,,216575,Health Care,Medical/Dental Instruments
ATCH,AtlasClear Holdings Inc. Common Stock,$1.9089,-0.0611,-3.102%,20021734.00,,2024,19676,,
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$11.23,0.00,0.00%,0.00,,2022,17,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.49,0.18,2.166%,232740114.00,United States,,92440,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.4263,-0.0677,-13.704%,1203189.00,United States,1997,3348188,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$22.50,1.1233,5.255%,,United States,,1033,,
AUMN,Golden Minerals Company Common Stock,$0.4366,-0.0942,-17.747%,6149371.00,United States,,479438,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.88,0.08,10.00%,11677600.00,,2022,9533,,
AWX,Avalon Holdings Corporation Common Stock,$2.44,0.00,0.00%,9514612.00,United States,1998,200,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$13.00,-0.75,-5.455%,76100011.00,,2024,2382,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.256,-0.0089,-3.36%,3096997.00,,2023,67093,Health Care,Biotechnology: Pharmaceutical Preparations
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.27,-0.03,-0.291%,0.00,,2021,191,Finance,Blank Checks
BATL,Battalion Oil Corporation Common Stock,$5.90,0.13,2.253%,97093722.00,United States,,1636,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$15.47,0.14,0.913%,0.00,United States,1972,3808,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$23.71,0.19,0.808%,,United States,,274,,
BDL,Flanigan's Enterprises Inc. Common Stock,$25.33,0.00,0.00%,47079529.00,United States,1972,8,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$3.72,-0.24,-6.061%,0.00,,2023,2154,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$3.8504,0.1004,2.677%,42238888.00,Canada,,1662,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$25.50,0.71,2.864%,386477261.00,United States,1997,1734,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$14.64,0.00,0.00%,56799599.00,,2022,103,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$10.75,0.00,0.00%,0.00,,2021,112,Finance,Blank Checks
BKTI,BK Technologies Corporation Common Stock,$11.7588,0.00,0.00%,40632522.00,United States,,97,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$1.7865,-0.0045,-0.251%,21205621.00,,2018,895,Technology,EDP Services
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$0.2801,-0.0014,-0.497%,1822935.00,,2020,64267,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$2.54,0.09,3.673%,48763883.00,United States,,1084,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.215,0.00,0.00%,22212219.00,United States,1965,113,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$2.395,0.055,2.35%,3120562776.00,Canada,,1501338,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$0.1698,0.0038,2.289%,5447379.00,,2021,39691,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.1476,-0.0024,-1.60%,5445602.00,United States,2020,41653,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.12,0.0399,1.918%,8635583.00,Israel,,2545,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$0.90,0.00,0.00%,252513923.00,United States,,277681,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$4.97,-0.08,-1.584%,41185321.00,United States,2022,310,Health Care,Managed Health Care
CEI,Camber Energy Inc. Common Stock,$0.2222,0.0022,1.00%,23893444.00,United States,,581636,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$38.915,0.195,0.504%,9418410658.00,United States,1951,2188,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.36,0.01,0.097%,72867837.00,United States,1999,4595,Finance,Investment Bankers/Brokers/Service
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$11.40,0.00,0.00%,0.00,,2021,20,Finance,Blank Checks
CHRO,Chromocell Therapeutics Corporation Common Stock,$3.91,0.16,4.267%,22551023.00,,2024,4742,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.01,0.01,0.333%,0.00,United States,,12877,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$23.01,0.46,2.04%,283339549.00,United States,1998,689,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$13.50,0.00,0.00%,26654765.00,United States,2003,2,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.75,-0.089,-10.608%,26619302.00,,2021,46655,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.2401,0.0301,0.417%,0.00,United States,2003,198136,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$9.655,0.065,0.678%,185279450.00,Canada,,929,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$18.455,0.205,1.123%,166846192.00,United States,1996,5509,Consumer Discretionary,Electronic Components
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$6.83,0.00,0.00%,38454744.00,China,2016,1611,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$6.8962,-0.1538,-2.182%,12560373.00,United States,,709,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.0734,0.0001,0.136%,2418653.00,China,,834818,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.2296,0.0196,0.272%,0.00,United States,2003,79686,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$17.16,0.67,4.063%,161306196.00,United States,2021,2411,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.29,0.00,0.00%,13816304.00,,2022,33912,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.1099,0.0899,4.45%,105714917.00,United States,1997,55505,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$15.69,0.00,0.00%,15158611.00,United States,1930,51,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.575,-0.0035,-0.136%,32631445.00,United States,2022,2636,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.3489,0.0011,0.316%,89518504.00,Canada,,516249,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,$2.13,0.07,3.398%,184756779.00,United States,2022,17010,Basic Materials,Precious Metals
DDC,DDC Enterprise Limited Class A Ordinary Shares,$1.2254,0.0154,1.273%,24413728.00,,2023,7191,Basic Materials,Metal Mining
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.97,0.02,1.026%,0.00,United States,1998,206389,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$201.49,0.00,0.00%,127011639.00,United States,1999,4,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$3.48,-0.11,-3.064%,24538002.00,United States,2000,6388,Consumer Staples,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.65,0.03,0.453%,414234179.00,United States,1988,6802,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.67,0.00,0.00%,0.00,,2022,1,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.795,-0.005,-0.278%,1595048138.00,Canada,,2020762,,
DPSI,DecisionPoint Systems Inc. Common Stock,$8.50,-0.05,-0.585%,65065843.00,,2022,1965,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$1.885,-0.055,-2.835%,13219907.00,United States,,815,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.3345,0.0011,0.33%,726463.00,China,,23376,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.665,0.015,0.226%,0.00,United States,2003,24988,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.04,0.04,0.50%,0.00,United States,1986,9283,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$23.10,0.175,0.763%,,United States,,340,,
EFSH,1847 Holdings LLC Common Shares,$2.53,0.06,2.429%,2003221.00,,2022,34519,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.38,0.05,0.484%,0.00,United States,2002,20841,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.51,0.19,4.398%,120417000.00,United States,,713,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$17.62,-0.24,-1.344%,226417000.00,Israel,,3273,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$15.48,0.06,0.389%,133208914.00,United States,2011,3408,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.515,0.045,3.061%,169989121.00,Canada,,57690,,
ENSV,Enservco Corporation Common Stock,$0.2056,0.0056,2.80%,5466026.00,United States,,43237,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.92,0.03,0.303%,0.00,United States,2002,6839,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$6.01,0.14,2.385%,137582603.00,United States,2022,1793,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.805,0.115,2.021%,194213996.00,United States,,68815,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$4.095,0.125,3.149%,1325161230.00,Canada,,182257,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.3799,0.0199,0.213%,0.00,United States,2003,13657,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$9.02,0.04,0.445%,0.00,,2004,4394,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$25.70,0.5329,2.117%,69670978.00,United States,1960,7644,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$30.00,0.53,1.798%,164507730.00,United States,,668,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$10.87,0.00,0.00%,0.00,,2022,3,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$21.56,0.30,1.411%,273257110.00,United States,1999,256,Industrials,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.20,0.00,0.00%,0.00,United States,2002,21513,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.7991,-0.0009,-0.009%,0.00,United States,2003,31888,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.7099,0.0299,1.116%,0.00,United States,1986,223671,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.57,0.03,0.542%,0.00,United States,1992,15391,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.805,0.165,1.127%,0.00,United States,2004,7647,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$1.315,0.00,0.00%,25916262.00,United States,,3,Consumer Discretionary,Industrial Machinery/Components
