Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
JOB,GEE Group Inc. Common Stock,$0.3849,0.0066,1.745%,41866180.00,United States,1968,18672,Consumer Discretionary,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.1403,0.0012,0.863%,7621108.00,Canada,,10565,Industrials,Railroads
KNW,Know Labs Inc. Common Stock,$0.8181,0.0668,8.891%,66549591.00,,2022,66535,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.1406,0.0028,2.032%,17980585.00,United States,,219517,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.05,0.01,0.962%,183736005.00,United States,,44894,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$41.2908,0.4508,1.104%,647259468.00,United States,2014,10263,,
LGL,LGL Group Inc. (The) Common Stock,$6.76,0.18,2.736%,36185854.00,United States,1946,230,Technology,Industrial Machinery/Components
LODE,Comstock Inc. Common Stock,$0.4431,-0.0039,-0.872%,51320276.00,United States,,232864,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$0.558,0.058,11.60%,39534977.00,United States,2022,65371,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$0.787,-0.0005,-0.063%,7358013.00,,2020,339,Consumer Staples,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$9.90,0.39,4.101%,266022563.00,United Kingdom,2012,33770,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$8.49,0.25,3.034%,874033724.00,Canada,,79515,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.35,-0.03,-2.174%,19188240.00,,2022,23650,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.16,-0.04,-3.333%,45684812.00,,2022,4729,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$8.7895,0.1895,2.203%,101950623.00,United States,,4107,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$0.2579,0.0379,17.227%,9024407.00,,2023,972457,Consumer Discretionary,Other Specialty Stores
MIMO,Airspan Networks Holdings Inc. Common Stock,$0.1353,-0.0047,-3.357%,10098642.00,United States,2020,122690,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$0.6893,0.00,0.00%,7223324.00,United States,2021,53,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.7049,-0.0131,-1.825%,50081905.00,United States,2015,40423,Health Care,Industrial Specialties
MPTI,M-tron Industries Inc. Common Stock,$38.05,0.57,1.521%,106078073.00,,2022,4679,,
MPU,Mega Matrix Corp. Common Stock,$2.95,0.01,0.34%,93587661.00,United States,1998,94564,Consumer Discretionary,Transportation Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$0.8516,0.0216,2.602%,15302188.00,,2021,25478,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.525,0.009,1.744%,11047392.00,United States,1994,314,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$2.4472,0.0472,1.967%,222643931.00,,,41315,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.2725,-0.0005,-0.183%,59204583.00,United States,2017,104422,Health Care,Biotechnology: Pharmaceutical Preparations
